Date,Close,High,Low,Open,Volume,month_marker
,^HSI,^HSI,^HSI,^HSI,^HSI,
2018-01-02,30515.31055,30515.31055,30028.28906,30028.28906,2442333400,
2018-01-03,30560.94922,30724.32031,30456.75977,30658.73047,2309467700,
2018-01-04,30736.48047,30796.92969,30560.42969,30691.71094,2995571100,
2018-01-05,30814.64063,30911.00977,30638.5293,30893.85938,2263930100,
2018-01-08,30899.5293,30929.15039,30732.53906,30895.08984,2004162500,
2018-01-09,31011.41016,31056.69922,30852.42969,30933.50977,2004940800,
2018-01-10,31073.7207,31267.57031,30928.58008,31009.24023,2595365800,
2018-01-11,31120.39063,31133.17969,30950.07031,31066.21094,1794778900,
2018-01-12,31412.53906,31412.53906,31198.35938,31298.05078,2327417400,
2018-01-15,31338.86914,31733.17969,31265.25,31702.56055,2664144600,
2018-01-16,31904.75,31904.75,31423.61914,31423.61914,3097059200,
2018-01-17,31983.41016,31983.41016,31642.26953,31825.51953,3999243800,
2018-01-18,32121.93945,32233.81055,31869.69922,32148.44922,3741499700,
2018-01-19,32254.89063,32254.89063,31986,32142.16016,2906627500,
2018-01-22,32393.41016,32417.23047,32046.83984,32276.96094,2880231400,
2018-01-23,32930.69922,32930.69922,32554.23047,32606.14063,3954770600,
2018-01-24,32958.69141,33018.71094,32728.50977,32907.23047,3897512100,
2018-01-25,32654.44922,32998.05078,32650.2207,32979.37891,3554766400,
2018-01-26,33154.12109,33223.57813,32794.12891,32836.28125,3892652400,
2018-01-29,32966.89063,33484.07813,32897.03906,33335.48047,3605090600,
2018-01-30,32607.28906,32976.75,32501.34961,32751.7207,3177122400,
2018-01-31,32887.26953,32933.98047,32330.39063,32435.75977,3314255500,End
2018-02-01,32642.08984,33048.03906,32642.08984,32950.30078,2769125200,Start
2018-02-02,32601.7793,32778.51172,32321.41992,32569.00977,2571367100,
2018-02-05,32245.2207,32394.86914,31712.01953,31715.56055,3135015100,
2018-02-06,30595.41992,31286.0293,30577.83008,31028.67969,5531270100,
2018-02-07,30323.19922,31472.4707,30292.15039,31378.34961,4620281500,
2018-02-08,30451.26953,30739.10938,30251.32031,30555.80078,3145081200,
2018-02-09,29507.41992,29679.21094,29129.25977,29679.21094,5171294500,
2018-02-12,29459.63086,29801.51953,29459.63086,29713.08008,2815461600,
2018-02-13,29839.5293,30169,29783.09961,29850.15039,2709197500,
2018-02-14,30515.59961,30637.23047,29968.53906,30024.4707,2408651200,
2018-02-15,31115.42969,31145.09961,30816.65039,30958.71094,2070618100,
2018-02-20,30873.63086,31339.68945,30720.48047,31165.28906,2033432100,
2018-02-21,31431.89063,31477.84961,30885.94922,31050.51953,1933845300,
2018-02-22,30965.67969,31195.26953,30930.09961,31084.44922,2391326700,
2018-02-23,31267.16992,31386.81055,31149.32031,31289.08008,1667179100,
2018-02-26,31498.59961,31567.46094,31273.94922,31528.28906,2025591300,
2018-02-27,31268.66016,31798.98047,31141.51953,31790.84961,2579124300,
2018-02-28,30844.7207,31061.75977,30703.90039,31037.41016,2407877200,End
2018-03-01,31044.25,31081.67969,30453.82031,30476.99023,2116269800,Start
2018-03-02,30583.44922,30670.93945,30477.94922,30611.09961,2955637100,
2018-03-05,29886.39063,30679.4707,29852.41992,30524.25977,2279546200,
2018-03-06,30510.73047,30620.06055,30129.80078,30380.96094,2270403000,
2018-03-07,30196.91992,30673.08008,30117.40039,30323.76953,2135337500,
2018-03-08,30654.51953,30724.0293,30428.60938,30523.67969,1529390000,
